States.UTs,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,FirstQuarter,SecondQuarter,ThirdQuarter,FourthQuarter,ANNUAL
Assam & Meghalaya,2004,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,107.6,1080.9,1451.8,353.9,2994.2
Assam & Meghalaya,2005,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,225.5,862.6,1151.3,228.8,2468.2
Assam & Meghalaya,2006,0.7,40.9,20.8,169,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,62.4,890.6,812.3,133.4,1898.7
Assam & Meghalaya,2007,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308,494.7,164.7,47.7,4,98.7,952.2,1485.4,216.4,2752.7
Assam & Meghalaya,2008,29.7,14.5,107.5,156.2,210.6,414.6,493.2,508.6,267.5,133.4,2.2,1.6,151.7,781.4,1269.3,137.2,2339.6
Assam & Meghalaya,2009,7.9,11.6,44.9,134.9,246.5,321.1,426.3,533.8,192.3,135.9,9,4,64.4,702.5,1152.4,148.9,2068.2
Assam & Meghalaya,2010,0.5,3.1,99.6,389.3,393.4,569.7,415.1,387,318.3,116.2,11.6,7.6,103.2,1352.4,1120.4,135.4,2711.4
Assam & Meghalaya,2011,11.1,11.4,109,92.1,238.3,316,395.8,302.6,221.6,30.2,11.9,3.5,131.5,646.4,920,45.6,1743.5
Assam & Meghalaya,2012,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,50.9,1194.6,1145.1,218.8,2609.4
Assam & Meghalaya,2013,1.1,9.6,44,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1,2,54.7,745.7,886.8,129.3,1816.5
Assam & Meghalaya,2014,2,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35,3,0.4,59.6,829,1279.2,38.4,2206.2
Assam & Meghalaya,2015,13.4,15.5,37.5,250.9,332.5,558.5,300.1,590.9,279.9,62.6,14,15.2,66.4,1141.9,1170.9,91.8,2471
Assam & Meghalaya,2016,18.9,15.9,64.1,327.8,334,369,498.4,185.3,271.2,136.5,38.2,7.4,98.9,1030.8,954.9,182.1,2266.7
Assam & Meghalaya,2017,1.7,37.8,116.7,310.9,268.4,485.2,429,483.1,345.4,212.1,10.3,11,156.2,1064.5,1257.5,233.4,2711.6
Bihar,1901,51.8,19.6,11.9,1.1,65.6,66.3,245.9,319.4,155.1,8.3,7.3,0.1,83.3,133,720.4,15.7,412.6
Bihar,1902,4.6,0.7,24.3,17.3,66.3,118.2,361,225.5,358.7,28.5,1.1,0,29.6,201.8,945.2,29.6,578.2
Bihar,1903,5.3,4.7,2,4.7,28.2,192.9,115,342.6,173.9,147,0.1,0,12,225.8,631.5,147.1,686.1
Bihar,1904,6.3,1.7,3.5,5.3,118.7,191.6,394.4,351.3,84.4,98.1,10.6,3.8,11.5,315.6,830.1,112.5,694.5
Bihar,1905,16,30.1,32.6,21.4,77.5,50.5,409.1,495.3,353.9,11.6,0,0.6,78.7,149.4,1258.3,12.2,279.9
Bihar,1906,14.4,56.9,8.6,0.9,44.7,191.3,366.2,430.1,118.7,32.9,0.4,0,79.9,236.9,915,33.3,647.3
Bihar,1907,1.3,55.2,39.4,27,32.9,232.2,282.4,242.2,206.9,4.8,0,2.1,95.9,292.1,731.5,6.9,551.7
Bihar,1908,14.7,38.6,6.1,2.2,36.7,94,202.3,167.3,149.9,25.4,0,0.3,59.4,132.9,519.5,25.7,870.1
Bihar,1909,7,6.3,0,72.8,25.8,446,256.2,352.4,175.4,43.1,0,5.6,13.3,544.6,784,48.7,781.8
Bihar,1910,2.4,4.8,6.6,5.7,51.5,279.5,365.1,328.8,258.5,73.8,21.7,0,13.8,336.7,952.4,95.5,685.3
Bihar,1911,9.4,0.1,28.2,13.1,41.7,312.3,199,425.5,279.1,122.8,17.8,0,37.7,367.1,903.6,140.6,420.3
Bihar,1912,5.5,8.5,23.9,25.4,62.7,146.8,362.4,302.9,104.7,14,72.6,0,37.9,234.9,770,86.6,655.3
Bihar,1913,0,38,18.1,1.4,106.1,379.9,258.8,363,270.3,61,0.5,32.8,56.1,487.4,892.1,94.3,498.2
Bihar,1914,0.2,22.7,8,29,77,84.4,269.1,460.4,98.4,10.1,0,0.6,30.9,190.4,827.9,10.7,676.5
Bihar,1915,8.2,57.1,22.5,6.4,72.5,149.1,321.3,415,185.1,75.3,36.7,0.3,87.8,228,921.4,112.3,401.6
Bihar,1916,0.6,16.5,0.3,25.3,25.1,270.3,445.6,325.2,265.2,130.1,0.4,0,17.4,320.7,1036,130.5,845.2
Bihar,1917,2.7,19.7,7.9,5.8,103.3,227.8,328.7,249.3,272.1,116.5,0,0.2,30.3,336.9,850.1,116.7,1350.5
Bihar,1918,0.6,0.1,1.8,29.5,105.4,251.6,240.3,519.2,254.4,8.6,0.1,0,2.5,386.5,1013.9,8.7,273.6
Bihar,1919,40.2,7.7,3.8,11.6,42.3,195,417.8,230.1,244.8,58.6,0,0.7,51.7,248.9,892.7,59.3,786.9
Bihar,1920,0,19.2,31,2.6,28.8,108.9,361.6,228.5,337.6,5.6,0,0,50.2,140.3,927.7,5.6,596.5
Bihar,1921,26.8,0.6,6.5,21.2,26.3,132.4,303.8,422,295.8,37,0,0,33.9,179.9,1021.6,37,547.7
Bihar,1922,12.2,4.6,0,9.6,22,345.8,427.3,363.5,241.3,15.7,0.7,6.5,16.8,377.4,1032.1,22.9,669.9
Bihar,1923,1.3,35.1,1.5,13.5,38.1,171.7,253.9,243.2,148.9,74.4,0.7,0.4,37.9,223.3,646,75.5,690
Bihar,1924,2.5,12.7,1.8,8.8,14.8,170.6,514,295.7,320.3,53.1,61.7,0.2,17,194.2,1130,115,924.4
Bihar,1925,7.7,1.8,7.7,52.9,38.6,130.4,322.9,331.5,269.4,17.6,11,0,17.2,221.9,923.8,28.6,483.7
Bihar,1926,16.3,0.6,29.7,12.8,47,48.1,451.5,276,211.6,17.6,1.8,8.7,46.6,107.9,939.1,28.1,832.3
Bihar,1927,24.2,36.4,31.9,3.1,52.9,115.9,301.5,242.7,231.4,21.5,38.6,0.2,92.5,171.9,775.6,60.3,726
Bihar,1928,41.2,21.5,0.1,18.3,54.3,208,377.2,272.9,83.3,164.3,0.9,7.6,62.8,280.6,733.4,172.8,608.3
